Task_ID,Department,Task_Type,Priority,Deadline_Days,Estimated_Hours,Resource_Available
1519,HR,Support,1,20,10,1
1520,Marketing,Campaign,5,28,10,1
1521,Finance,Support,2,1,5,0
1522,Marketing,Payment,5,17,10,0
1523,Marketing,Support,3,12,18,0
1524,Marketing,Development,5,10,6,0
1525,Marketing,Hiring,3,5,3,1
1526,Tech,Payment,2,30,8,1
1527,Tech,Development,3,29,9,0
1528,Marketing,Campaign,2,18,5,1
1529,Finance,Payment,2,15,2,0
1530,HR,Hiring,4,6,2,0
1531,Finance,Hiring,2,7,7,0
1532,Finance,Campaign,3,17,17,1
1533,Finance,Campaign,4,6,10,1
1534,Marketing,Payment,4,8,12,0
1535,Tech,Support,2,12,2,0
1536,Finance,Campaign,5,21,10,0
1537,Marketing,Support,5,14,20,0
1538,Finance,Development,4,12,1,1
1539,Finance,Hiring,2,23,4,1
1540,Marketing,Support,5,10,13,0
1541,Tech,Hiring,2,22,12,0
1542,Tech,Support,2,20,11,1
1543,HR,Development,4,15,10,0
1544,Marketing,Campaign,4,7,15,1
1545,HR,Development,1,26,5,1
1546,HR,Campaign,5,9,17,0
1547,HR,Campaign,5,10,5,1
1548,Tech,Hiring,5,10,2,1
1549,Marketing,Development,3,16,9,1
1550,HR,Support,2,29,6,1
1551,Marketing,Development,4,7,18,0
1552,Marketing,Hiring,5,28,14,1
1553,Tech,Campaign,1,30,19,1
1554,HR,Hiring,5,5,14,1
1555,HR,Payment,2,23,8,0
1556,Marketing,Payment,2,3,17,0
1557,Finance,Support,4,18,3,0
1558,Tech,Hiring,3,11,10,1
1559,Tech,Support,4,15,17,0
1560,Tech,Support,5,21,11,0
1561,Tech,Payment,1,20,8,0
1562,HR,Support,4,5,1,1
1563,HR,Payment,3,24,13,0
1564,Finance,Campaign,4,12,4,0
1565,Tech,Hiring,2,4,7,0
1566,Tech,Support,5,15,14,1
1567,Marketing,Payment,5,9,5,1
1568,HR,Development,5,7,11,0
1569,Tech,Support,5,10,17,0
1570,Finance,Campaign,5,29,5,0
1571,Finance,Campaign,5,28,20,1
1572,HR,Development,1,23,3,1
1573,Finance,Payment,3,13,5,0
1574,Finance,Support,5,29,15,1
1575,HR,Payment,3,8,19,0
1576,Tech,Campaign,5,12,16,1
1577,Tech,Payment,4,22,8,0
1578,Finance,Campaign,5,24,13,1
1579,Finance,Payment,2,19,16,0
1580,Tech,Development,1,26,3,1
1581,HR,Hiring,4,26,1,0
1582,Finance,Development,4,30,9,0
1583,Marketing,Development,2,1,9,0
1584,HR,Hiring,5,16,17,0
1585,Finance,Hiring,1,22,2,1
1586,Finance,Support,4,17,9,0
1587,Marketing,Support,1,25,19,1
1588,Marketing,Development,4,30,13,1
1589,Tech,Development,5,18,5,0
1590,HR,Campaign,4,11,9,0
1591,HR,Campaign,4,18,13,0
1592,Tech,Support,3,7,1,0
1593,HR,Support,5,18,15,1
1594,HR,Campaign,2,26,4,1
1595,HR,Campaign,2,8,4,1
1596,HR,Payment,5,6,20,1
1597,HR,Payment,2,30,10,0
1598,Marketing,Campaign,5,7,6,1
1599,HR,Payment,2,23,12,0
1600,Marketing,Hiring,3,22,20,0
1601,HR,Support,2,10,16,1
1602,Tech,Support,4,11,3,1
1603,Finance,Campaign,5,25,14,1
1604,Marketing,Development,1,13,1,1
1605,HR,Campaign,1,9,10,1
1606,Tech,Payment,5,7,15,1
1607,Finance,Development,3,9,7,0
1608,Marketing,Payment,2,13,4,0
1609,Finance,Hiring,3,26,14,0
1610,Tech,Payment,1,3,16,1
1611,Marketing,Hiring,5,3,14,0
1612,Finance,Hiring,5,1,3,0
1613,HR,Payment,3,21,17,0
1614,Marketing,Payment,3,20,14,0
1615,Finance,Hiring,2,2,18,0
1616,Tech,Development,4,25,3,0
1617,Tech,Hiring,4,3,19,1
1618,Marketing,Support,2,15,3,1
1619,Finance,Hiring,4,24,12,1
1620,Marketing,Development,1,6,5,0
1621,Marketing,Support,4,30,10,1
1622,Finance,Campaign,2,13,9,1
1623,Finance,Campaign,4,21,1,0
1624,HR,Development,5,1,13,1
1625,Finance,Hiring,3,20,3,0
1626,Tech,Payment,1,19,19,1
1627,Marketing,Development,5,1,11,0
1628,Marketing,Support,5,28,16,0
1629,Tech,Support,2,21,6,1
1630,Finance,Campaign,3,22,3,0
1631,Tech,Support,3,2,19,1
1632,Tech,Development,1,15,6,0
1633,HR,Support,2,14,8,1
1634,Tech,Development,1,19,13,1
1635,Marketing,Payment,4,11,12,0
1636,Tech,Campaign,5,30,10,1
1637,Marketing,Support,1,15,3,1
1638,Marketing,Development,5,6,4,1
1639,Marketing,Hiring,2,20,1,0
1640,Finance,Campaign,4,9,13,0
1641,HR,Payment,2,5,4,1
1642,Marketing,Development,4,20,11,1
1643,Marketing,Payment,4,2,19,0
1644,Finance,Payment,5,6,11,0
1645,Marketing,Support,2,26,12,1
1646,Tech,Support,2,18,11,0
1647,Tech,Development,1,28,6,0
1648,HR,Hiring,2,29,12,1
1649,Marketing,Development,1,23,9,0
1650,Finance,Hiring,3,19,10,0
1651,Tech,Payment,3,9,3,0
1652,Finance,Campaign,3,27,3,1
1653,Finance,Development,2,21,20,0
1654,Tech,Development,2,24,16,1
1655,Finance,Hiring,1,27,3,0
1656,Tech,Payment,4,6,10,0
1657,Finance,Payment,1,14,11,1
1658,Tech,Hiring,3,28,8,1
1659,Marketing,Payment,1,26,6,1
1660,HR,Support,4,24,20,1
1661,Tech,Campaign,2,29,11,0
1662,Tech,Development,1,13,12,1
1663,HR,Campaign,3,11,16,1
1664,Tech,Development,3,12,18,1
1665,Tech,Support,2,19,13,0
1666,Finance,Payment,1,19,3,0
1667,HR,Hiring,4,21,15,1
1668,Marketing,Support,2,27,14,1
1669,Tech,Campaign,1,26,18,1
1670,HR,Hiring,5,19,14,1
1671,Finance,Payment,3,24,5,0
1672,Marketing,Support,4,26,14,1
1673,HR,Hiring,4,13,8,0
1674,Marketing,Support,4,28,15,1
1675,Marketing,Support,3,14,15,1
1676,Marketing,Payment,1,24,19,0
1677,Tech,Development,2,18,20,1
1678,Tech,Hiring,1,12,6,1
1679,Finance,Payment,2,4,19,1
1680,Finance,Support,4,10,8,1
1681,HR,Payment,1,29,6,0
1682,Finance,Development,4,17,20,1
1683,Marketing,Hiring,5,4,15,1
1684,Marketing,Development,4,12,3,0
1685,Tech,Campaign,4,13,10,1
1686,Marketing,Hiring,2,29,15,0
1687,HR,Development,5,27,16,1
1688,Marketing,Support,4,29,17,1
1689,Marketing,Hiring,4,4,19,1
1690,HR,Hiring,5,10,11,0
1691,Finance,Payment,5,25,16,0
1692,Finance,Support,1,3,5,1
1693,HR,Campaign,2,15,5,0
1694,Tech,Development,5,2,14,1
1695,Marketing,Payment,5,25,18,0
1696,HR,Development,3,25,8,1
1697,Marketing,Campaign,5,17,5,0
1698,Tech,Campaign,2,6,7,1
1699,Marketing,Hiring,4,26,16,0
1700,HR,Campaign,4,8,14,0
1701,Marketing,Development,4,3,5,0
1702,Finance,Support,4,27,9,0
1703,Tech,Support,3,25,4,1
1704,Tech,Hiring,5,18,4,1
1705,Tech,Development,4,22,16,0
1706,HR,Development,1,1,17,1
1707,Tech,Campaign,4,29,15,0
1708,Finance,Development,5,16,4,1
1709,HR,Payment,4,7,6,0
1710,Finance,Campaign,3,3,16,1
1711,Marketing,Payment,2,23,4,1
1712,Marketing,Hiring,2,4,6,0
1713,Marketing,Support,5,9,5,0
1714,Marketing,Hiring,2,5,16,0
1715,Finance,Support,2,19,16,0
1716,HR,Hiring,1,15,10,0
1717,HR,Development,5,8,9,1
1718,Tech,Payment,5,6,4,0
1719,Finance,Support,2,18,14,1
1720,Marketing,Campaign,2,19,4,0
1721,Finance,Payment,2,24,12,1
1722,Tech,Campaign,3,15,10,1
1723,Tech,Payment,4,26,4,0
1724,Finance,Payment,3,7,18,0
1725,Finance,Hiring,5,10,13,1
1726,Finance,Support,1,6,13,1
1727,HR,Support,4,14,14,0
1728,Marketing,Payment,1,17,18,1
1729,Finance,Development,5,9,1,1
1730,Finance,Development,5,19,16,1
1731,Finance,Campaign,1,30,15,1
1732,Tech,Campaign,1,5,5,1
1733,Tech,Hiring,1,23,6,1
1734,HR,Payment,5,7,6,0
1735,Marketing,Campaign,2,19,3,0
1736,HR,Campaign,1,20,16,0
1737,Marketing,Payment,4,26,12,0
1738,Tech,Hiring,5,7,4,1
1739,Tech,Campaign,3,24,1,0
1740,Tech,Hiring,3,2,4,1
1741,HR,Support,4,25,1,1
1742,Finance,Hiring,2,23,8,0
1743,Finance,Development,1,16,5,0
1744,Tech,Development,5,13,2,1
1745,Finance,Hiring,1,8,12,0
1746,Finance,Development,5,6,17,0
1747,HR,Support,3,6,7,1
1748,Marketing,Payment,1,9,11,1
1749,Tech,Development,4,4,4,1
1750,Tech,Development,2,27,5,1
1751,HR,Hiring,4,11,6,1
1752,HR,Support,2,5,11,1
1753,Finance,Payment,1,25,1,0
1754,Tech,Hiring,1,17,10,0
1755,Marketing,Hiring,2,20,20,0
1756,HR,Support,3,7,11,1
1757,Marketing,Payment,5,27,17,1
1758,Marketing,Support,4,15,8,0
1759,Tech,Payment,4,25,13,0
1760,Tech,Support,4,15,20,0
1761,HR,Hiring,1,14,18,1
1762,Tech,Hiring,4,13,16,0
1763,Tech,Campaign,5,11,2,0
1764,Tech,Development,5,28,5,0
1765,Marketing,Support,2,13,18,1
1766,HR,Campaign,1,26,3,0
1767,Finance,Development,5,22,17,0
1768,Marketing,Support,3,28,16,1
1769,Tech,Payment,1,24,6,1
1770,Marketing,Development,1,29,19,1
1771,Tech,Hiring,5,9,7,1
1772,Tech,Campaign,3,10,18,1
1773,Marketing,Development,2,4,14,0
1774,HR,Development,5,17,6,0
1775,Tech,Hiring,3,14,8,1
1776,HR,Support,1,24,15,1
1777,Finance,Payment,3,18,15,1
1778,Tech,Hiring,1,11,15,1
1779,HR,Payment,5,16,16,0
1780,HR,Support,5,1,1,0
1781,Finance,Development,4,29,11,1
1782,HR,Payment,4,7,5,1
1783,HR,Campaign,4,28,5,1
1784,Finance,Campaign,5,10,6,1
1785,Tech,Hiring,2,9,2,0
1786,HR,Support,5,27,6,1
1787,HR,Hiring,3,28,14,1
1788,HR,Hiring,5,28,11,0
1789,Marketing,Hiring,5,25,4,1
1790,Finance,Campaign,1,3,9,0
1791,Marketing,Campaign,1,22,3,1
1792,Finance,Hiring,1,23,16,1
1793,Tech,Campaign,5,14,11,0
1794,Tech,Support,2,26,4,1
1795,HR,Hiring,3,25,1,0
1796,Finance,Campaign,3,15,16,0
1797,Tech,Payment,2,2,19,0
1798,Finance,Hiring,2,24,16,1
1799,Tech,Hiring,3,14,11,1
1800,Marketing,Support,4,16,8,0
1801,Tech,Development,1,7,1,1
1802,Marketing,Development,1,4,9,1
1803,Tech,Support,3,18,12,1
1804,HR,Support,2,24,8,0
1805,Marketing,Support,4,27,17,0
1806,Tech,Development,3,5,10,1
1807,HR,Support,1,6,7,0
1808,Marketing,Campaign,5,30,19,1
1809,HR,Hiring,2,27,6,1
1810,Finance,Hiring,5,7,19,1
1811,Finance,Payment,3,15,18,0
1812,Marketing,Payment,1,26,15,0
1813,Tech,Hiring,4,1,2,1
1814,Marketing,Campaign,5,24,14,0
1815,HR,Development,4,4,10,1
1816,Tech,Development,1,29,16,0
1817,Finance,Campaign,5,25,7,0
1818,Tech,Development,4,1,8,0
1819,Finance,Support,4,11,10,1
1820,Tech,Hiring,5,18,15,1
1821,Tech,Hiring,1,14,8,1
1822,Tech,Campaign,4,22,13,0
1823,HR,Development,3,11,12,1
1824,HR,Payment,5,10,8,1
1825,Marketing,Payment,2,27,15,1
1826,Marketing,Development,2,30,12,1
1827,Finance,Payment,1,17,11,0
1828,HR,Campaign,3,4,19,0
1829,Finance,Campaign,4,24,14,1
1830,Marketing,Development,2,15,18,0
1831,Finance,Payment,1,26,13,0
1832,Marketing,Campaign,3,16,4,0
1833,HR,Campaign,3,21,17,0
1834,Tech,Support,1,13,19,0
1835,HR,Support,1,9,9,1
1836,Finance,Campaign,4,11,7,0
1837,Finance,Development,1,11,1,1
1838,HR,Hiring,4,6,7,1
1839,HR,Hiring,4,1,7,1
1840,Marketing,Campaign,5,22,20,0
1841,Finance,Campaign,3,6,7,0
1842,Finance,Campaign,3,13,8,0
1843,HR,Development,3,22,16,0
1844,Tech,Support,5,24,3,1
1845,Finance,Campaign,4,22,13,1
1846,Tech,Campaign,4,5,10,1
1847,HR,Payment,1,15,18,0
1848,HR,Development,5,27,7,1
1849,Marketing,Campaign,1,18,5,1
1850,Finance,Payment,5,20,7,1
1851,Tech,Hiring,1,14,17,0
1852,Marketing,Campaign,2,15,4,1
1853,Finance,Campaign,3,26,16,1
1854,Marketing,Payment,3,5,19,0
1855,HR,Development,4,26,10,1
1856,Finance,Campaign,2,4,3,0
1857,Marketing,Hiring,3,2,3,1
1858,Marketing,Campaign,4,7,17,0
1859,Tech,Hiring,2,10,10,0
1860,Marketing,Support,3,16,17,0
1861,Finance,Support,1,10,17,1
1862,Finance,Hiring,5,18,4,1
1863,Tech,Development,2,17,6,0
1864,Finance,Campaign,4,30,12,0
1865,HR,Campaign,2,21,20,0
1866,Finance,Support,4,28,17,0
1867,Finance,Hiring,2,13,17,0
1868,Marketing,Campaign,4,1,10,0
1869,Marketing,Campaign,3,1,7,0
1870,Finance,Development,1,15,16,0
1871,Tech,Payment,3,1,13,0
1872,Marketing,Support,1,6,3,0
1873,Tech,Support,3,25,2,0
1874,Finance,Payment,3,26,16,0
1875,Finance,Campaign,2,13,6,1
1876,HR,Development,5,27,6,0
1877,Marketing,Development,4,28,13,1
1878,Finance,Support,4,1,7,1
1879,HR,Development,4,5,5,1
1880,Marketing,Payment,1,9,7,0
1881,Finance,Campaign,4,30,2,1
1882,Finance,Payment,4,25,17,0
1883,Marketing,Hiring,2,17,13,1
1884,Marketing,Support,3,16,16,0
1885,Marketing,Development,4,8,20,0
1886,Finance,Hiring,5,17,2,1
1887,Finance,Development,4,15,5,1
1888,HR,Campaign,1,24,18,0
1889,Tech,Campaign,1,1,7,1
1890,Marketing,Campaign,1,12,11,0
1891,Finance,Development,4,5,11,0
1892,Finance,Hiring,2,24,17,0
1893,Marketing,Campaign,5,6,16,1
1894,Tech,Hiring,4,25,13,0
1895,Marketing,Development,2,1,5,0
1896,Tech,Hiring,2,25,20,0
1897,Finance,Development,4,1,16,0
1898,Tech,Development,4,10,16,1
1899,HR,Support,2,10,16,1
1900,Finance,Development,2,3,14,1
1901,HR,Development,2,17,6,1
1902,Marketing,Payment,4,19,2,0
1903,Marketing,Campaign,2,28,14,0
1904,Marketing,Support,1,11,16,0
1905,Tech,Support,4,29,20,0
1906,Finance,Support,1,18,13,0
1907,Marketing,Payment,3,2,15,0
1908,Marketing,Development,4,9,12,1
1909,Finance,Campaign,3,24,9,0
1910,Marketing,Hiring,2,17,18,0
1911,HR,Development,2,28,14,0
1912,Finance,Payment,5,14,20,1
1913,Finance,Development,2,4,4,0
1914,Finance,Development,3,29,8,0
1915,HR,Payment,2,17,8,0
1916,Finance,Support,4,17,16,1
1917,HR,Support,2,12,10,0
1918,Finance,Campaign,5,28,17,0
1919,Tech,Campaign,2,20,1,1
1920,Marketing,Support,3,18,18,0
1921,Tech,Hiring,3,3,10,1
1922,Marketing,Development,2,11,4,0
1923,HR,Hiring,3,25,1,1
1924,Tech,Development,3,18,4,0
1925,Finance,Support,5,4,4,0
1926,Marketing,Campaign,4,17,4,1
1927,Marketing,Campaign,5,18,17,0
1928,Tech,Hiring,1,5,9,0
1929,HR,Campaign,5,14,19,1
1930,Tech,Support,2,10,13,0
1931,HR,Hiring,4,15,4,1
1932,HR,Development,2,1,5,0
1933,Marketing,Campaign,1,16,13,1
1934,Tech,Payment,4,11,16,0
1935,Tech,Campaign,3,23,5,0
1936,HR,Development,5,20,8,1
1937,Tech,Hiring,2,6,16,0
1938,Finance,Development,1,24,1,1
1939,Finance,Payment,3,29,6,1
1940,Tech,Support,5,22,11,1
1941,Tech,Campaign,3,16,16,0
1942,HR,Hiring,5,30,5,0
1943,Finance,Support,4,2,16,0
1944,Finance,Development,3,1,7,1
1945,Marketing,Hiring,3,24,19,1
1946,HR,Support,3,24,1,1
1947,Marketing,Hiring,4,9,9,0
1948,Finance,Payment,1,22,18,1
1949,HR,Payment,5,12,13,0
1950,Tech,Campaign,3,17,15,0
1951,HR,Campaign,4,30,3,0
1952,Tech,Payment,1,25,10,0
1953,Tech,Hiring,5,28,9,0
1954,HR,Payment,4,29,13,0
1955,Tech,Campaign,5,15,16,0
1956,Marketing,Payment,3,30,3,0
1957,Finance,Payment,1,19,15,1
1958,Tech,Hiring,4,27,17,0
1959,Marketing,Support,1,22,14,0
1960,Tech,Campaign,3,10,7,1
1961,Finance,Hiring,1,29,20,1
1962,Marketing,Payment,1,26,16,1
1963,Finance,Payment,2,27,8,1
1964,Finance,Support,1,12,4,0
1965,Marketing,Campaign,5,14,20,1
1966,Marketing,Campaign,4,9,15,1
1967,Marketing,Development,2,27,5,1
1968,HR,Campaign,4,13,13,1
1969,Marketing,Support,4,3,6,0
1970,Marketing,Development,3,21,5,1
1971,Marketing,Development,3,29,17,1
1972,Marketing,Payment,2,14,7,1
1973,Tech,Payment,3,21,6,1
1974,HR,Campaign,3,10,2,0
1975,Finance,Development,3,16,11,1
1976,Marketing,Payment,4,7,7,1
1977,Tech,Support,2,4,8,1
1978,Tech,Payment,4,27,5,0
1979,Tech,Payment,5,20,18,1
1980,Finance,Development,4,23,16,1
1981,Marketing,Development,5,25,14,0
1982,HR,Hiring,1,11,12,1
1983,HR,Support,1,16,17,0
1984,Tech,Development,5,20,5,0
1985,Finance,Campaign,5,4,14,1
1986,Finance,Support,4,22,6,1
1987,Finance,Support,5,22,15,0
1988,HR,Development,2,23,7,0
1989,Tech,Support,1,17,14,1
1990,Marketing,Development,1,13,18,0
1991,HR,Payment,5,11,1,0
1992,Tech,Hiring,3,30,6,1
1993,Tech,Payment,3,3,3,0
1994,Marketing,Development,5,9,5,0
1995,Marketing,Development,2,6,12,0
1996,Marketing,Payment,3,22,11,0
1997,Finance,Campaign,5,21,13,0
1998,Marketing,Campaign,2,11,16,0
1999,Tech,Campaign,2,16,18,1
2000,Marketing,Development,4,19,17,0
2001,Tech,Support,2,27,17,1
2002,HR,Development,3,5,11,1
2003,Finance,Support,3,14,20,1
2004,HR,Payment,5,17,10,1
2005,HR,Hiring,5,3,16,1
2006,Tech,Support,2,4,2,1
2007,HR,Campaign,1,16,17,1
2008,Tech,Development,4,16,20,1
2009,Marketing,Payment,1,21,10,0
2010,Marketing,Campaign,2,26,13,1
2011,Tech,Payment,2,25,12,1
2012,Marketing,Hiring,1,4,15,1
2013,Finance,Development,4,19,7,0
2014,HR,Development,1,26,13,1
2015,Finance,Hiring,5,17,12,0
2016,HR,Development,3,13,12,1
2017,Marketing,Support,5,26,2,1
2018,Finance,Payment,3,22,5,0
2019,Marketing,Campaign,2,23,2,1
2020,HR,Hiring,4,26,20,0
2021,Tech,Support,1,24,13,0
2022,Tech,Campaign,4,28,3,1
2023,Finance,Campaign,1,1,11,1
2024,Marketing,Hiring,5,12,16,0
2025,Marketing,Support,5,4,1,0
2026,Finance,Campaign,1,11,19,1
2027,Tech,Campaign,4,5,11,1
2028,HR,Support,1,2,9,1
2029,Finance,Development,2,17,14,0
2030,HR,Campaign,5,8,9,1
2031,Tech,Payment,2,6,7,0
2032,Marketing,Support,5,21,16,1
2033,Tech,Campaign,5,29,3,0
2034,Finance,Hiring,3,9,19,0
2035,Marketing,Payment,2,13,4,1
2036,Finance,Campaign,2,11,7,0
2037,Finance,Payment,3,29,12,0
2038,Tech,Payment,4,16,18,0
2039,Finance,Development,2,16,5,0
2040,Tech,Payment,1,27,10,0
2041,Marketing,Development,3,2,12,1
2042,Tech,Support,2,10,8,1
2043,Marketing,Development,4,12,19,0
2044,Tech,Hiring,2,8,15,1
2045,HR,Campaign,5,11,1,0
2046,HR,Support,1,30,3,0
2047,Finance,Support,3,10,18,1
2048,Tech,Hiring,5,13,18,0
2049,Tech,Development,4,25,2,0
2050,Marketing,Campaign,5,17,5,0
2051,Finance,Development,5,7,1,1
2052,Tech,Payment,4,24,10,1
2053,Finance,Development,5,3,20,0
2054,HR,Support,3,30,10,0
2055,Tech,Campaign,2,20,5,0
2056,Tech,Development,5,13,18,0
2057,Finance,Campaign,3,19,15,0
2058,Tech,Campaign,2,7,20,1
2059,Finance,Payment,2,9,8,1
2060,Tech,Payment,5,19,17,1
2061,Marketing,Support,3,13,12,1
2062,Finance,Hiring,5,22,12,0
2063,Tech,Campaign,4,8,1,0
2064,HR,Hiring,2,22,4,1
2065,Tech,Support,5,18,8,1
2066,HR,Campaign,2,29,1,0
2067,HR,Campaign,3,23,15,1
2068,Marketing,Hiring,1,2,18,0
2069,Finance,Development,5,18,1,0
2070,Tech,Payment,5,18,11,0
2071,Marketing,Development,2,11,2,1
2072,Tech,Hiring,3,1,1,1
2073,HR,Payment,4,14,12,1
2074,Finance,Development,3,16,16,1
2075,Tech,Payment,5,11,10,1
2076,Tech,Campaign,4,1,18,0
2077,HR,Development,3,30,15,1
2078,Tech,Payment,1,7,17,0
2079,Tech,Payment,2,29,10,0
2080,HR,Payment,3,16,3,0
2081,Marketing,Development,3,30,16,1
2082,HR,Support,1,14,6,1
2083,Marketing,Development,5,15,3,1
2084,Finance,Hiring,2,14,9,1
2085,Marketing,Development,3,28,11,1
2086,Marketing,Payment,4,21,13,1
2087,Finance,Campaign,3,11,18,1
2088,Marketing,Development,2,16,4,1
2089,HR,Development,3,19,8,0
2090,Marketing,Payment,1,17,13,1
2091,Finance,Campaign,3,27,10,0
2092,HR,Campaign,3,26,2,0
2093,Finance,Hiring,4,6,8,0
2094,Finance,Development,1,11,6,0
2095,Tech,Campaign,1,17,16,1
2096,Tech,Campaign,3,9,18,1
2097,Finance,Support,4,18,17,0
2098,Finance,Support,3,17,6,0
2099,Finance,Campaign,3,12,13,0
2100,Tech,Hiring,2,23,14,1
2101,Tech,Campaign,2,22,10,0
2102,Marketing,Payment,4,22,11,0
2103,Marketing,Development,5,30,13,1
2104,Finance,Hiring,2,5,12,0
2105,HR,Payment,5,11,9,1
2106,HR,Hiring,1,4,4,1
2107,Tech,Payment,2,27,7,0
2108,Tech,Development,2,4,2,0
2109,Tech,Development,4,3,7,0
2110,Finance,Support,5,26,9,1
2111,HR,Payment,2,24,5,1
2112,Marketing,Support,2,23,15,1
2113,Finance,Payment,4,25,18,0
2114,Marketing,Support,4,17,4,0
2115,Marketing,Development,5,7,19,0
2116,Finance,Hiring,1,26,20,0
2117,Marketing,Support,1,4,7,0
2118,HR,Payment,3,23,8,0
2119,Marketing,Payment,2,13,17,1
2120,HR,Development,5,12,13,1
2121,HR,Payment,2,1,11,1
2122,HR,Campaign,5,21,1,0
2123,Tech,Hiring,5,19,2,1
2124,Marketing,Support,5,21,17,1
2125,Finance,Hiring,2,20,5,1
2126,Finance,Development,4,18,6,0
2127,Marketing,Support,2,11,7,0
2128,Tech,Support,5,20,15,1
2129,Tech,Campaign,3,3,19,0
2130,HR,Development,1,29,16,0
2131,Marketing,Payment,5,17,13,0
2132,Marketing,Campaign,3,12,5,0
2133,Finance,Campaign,4,10,3,1
2134,Marketing,Hiring,5,8,3,0
2135,Tech,Hiring,3,15,19,1
2136,Marketing,Hiring,5,5,14,1
2137,Finance,Campaign,2,4,16,0
2138,HR,Payment,3,26,17,0
2139,Finance,Support,2,28,4,0
2140,Finance,Hiring,2,21,13,1
2141,HR,Payment,3,20,8,1
2142,Finance,Development,1,19,19,1
2143,Finance,Hiring,3,21,5,1
2144,Marketing,Support,1,4,2,1
2145,Marketing,Development,5,15,15,1
2146,HR,Development,5,17,2,1
2147,Marketing,Support,3,12,11,0
2148,Marketing,Hiring,5,3,13,1
2149,Finance,Campaign,4,10,10,1
2150,Tech,Support,2,15,3,1
2151,Marketing,Support,2,10,5,1
2152,Tech,Support,1,24,3,0
2153,Marketing,Development,5,23,6,1
2154,Marketing,Payment,1,18,13,1
2155,HR,Campaign,2,1,10,0
2156,HR,Hiring,2,3,19,0
2157,HR,Hiring,5,21,8,1
2158,Tech,Payment,4,26,18,1
2159,Finance,Support,4,27,3,1
2160,Marketing,Campaign,5,12,17,1
2161,Marketing,Hiring,5,1,8,1
2162,Marketing,Hiring,1,3,10,1
2163,Tech,Support,5,3,2,0
2164,HR,Payment,4,5,12,0
2165,Finance,Campaign,5,19,6,1
2166,Tech,Payment,1,29,2,1
2167,HR,Payment,1,25,3,1
2168,Tech,Campaign,1,1,17,0
2169,Finance,Campaign,1,4,7,1
2170,HR,Hiring,3,29,5,0
2171,Tech,Hiring,5,29,1,0
2172,Finance,Campaign,2,26,8,1
2173,Marketing,Development,5,26,12,0
2174,Finance,Hiring,3,4,14,1
2175,Marketing,Development,1,17,16,0
2176,Tech,Campaign,3,14,10,1
2177,HR,Hiring,4,18,15,1
2178,HR,Payment,4,27,15,0
2179,Tech,Campaign,5,1,10,0
2180,HR,Support,5,22,7,0
2181,HR,Development,2,16,3,1
2182,Marketing,Campaign,2,3,2,0
2183,Tech,Campaign,4,23,6,0
2184,Finance,Hiring,1,21,9,1
2185,Marketing,Hiring,3,9,10,1
2186,Tech,Hiring,2,23,4,0
2187,Marketing,Support,2,4,3,0
2188,Finance,Hiring,1,21,9,0
2189,Finance,Campaign,1,5,17,1
2190,Tech,Hiring,5,11,14,1
2191,Finance,Payment,3,21,10,0
2192,Marketing,Hiring,1,26,13,1
2193,Finance,Support,2,9,12,0
2194,Marketing,Payment,2,26,1,0
2195,Marketing,Campaign,4,3,19,1
2196,Finance,Campaign,1,6,19,0
2197,Tech,Development,5,24,6,0
2198,HR,Payment,3,11,13,1
2199,Finance,Development,5,9,19,0
2200,Marketing,Payment,2,29,13,0
2201,Marketing,Payment,5,15,4,1
2202,Finance,Support,2,23,2,0
2203,Tech,Development,2,28,15,0
2204,Tech,Support,2,3,12,1
2205,Marketing,Payment,2,1,7,1
2206,Marketing,Campaign,2,20,20,1
2207,Tech,Payment,4,29,18,0
2208,HR,Support,5,22,13,1
2209,Finance,Development,4,19,17,0
2210,Marketing,Development,4,14,4,1
2211,Marketing,Support,1,17,14,0
2212,Tech,Development,1,22,20,0
2213,Finance,Hiring,1,14,13,1
2214,Tech,Campaign,3,17,3,0
2215,Finance,Campaign,1,25,18,0
2216,Finance,Campaign,5,27,14,1
2217,Finance,Development,4,14,15,0
2218,Marketing,Development,5,12,3,0
2219,HR,Payment,1,16,1,0
2220,Tech,Payment,3,1,17,1
2221,HR,Campaign,3,13,3,1
2222,Tech,Hiring,4,6,14,1
2223,Finance,Payment,5,17,3,1
2224,Marketing,Payment,2,12,13,1
2225,HR,Development,5,23,15,1
2226,Marketing,Hiring,1,19,18,1
2227,Tech,Campaign,2,6,14,1
2228,Marketing,Payment,3,7,3,0
2229,Marketing,Hiring,4,1,19,0
2230,HR,Hiring,4,1,8,0
2231,Finance,Campaign,3,29,4,0
2232,Marketing,Hiring,1,5,4,1
2233,Finance,Hiring,3,6,19,0
2234,Tech,Hiring,1,16,11,0
2235,Marketing,Payment,2,25,1,0
2236,HR,Campaign,3,16,8,0
2237,Tech,Hiring,1,14,15,0
2238,Tech,Hiring,2,1,1,1
2239,HR,Payment,3,13,7,1
2240,Marketing,Campaign,4,20,20,0
2241,Marketing,Development,3,10,20,0
2242,Tech,Payment,5,24,11,0
2243,Marketing,Campaign,3,10,14,0
2244,Finance,Hiring,5,9,16,1
2245,HR,Campaign,2,13,14,0
2246,Finance,Campaign,3,3,12,1
2247,Marketing,Campaign,2,27,17,0
2248,Tech,Development,2,18,14,1
2249,HR,Campaign,1,20,10,1
